num_workers,actualNworkers,sample_num,objid,clust,precision,recall,jaccard,FPR%,FNR%
5,5,9,1,0,0.9739926459322813,0.9711655973113351,0.9466180247924655,0.24162325276852564,2.883440268866483
5,0,9,1,1,-1,0.0,0.0,0.0,100.0
5,5,9,1,-1,0.9739926459322813,0.9711655973113351,0.9466180247924655,0.24162325276852564,2.883440268866483
5,5,9,2,-1,0.9657134301542147,0.9686139059918907,0.936411149825784,0.07619592667888907,3.138609400810933
5,5,9,3,-1,0.9493807215939688,0.9259453781512605,0.8823823823823824,0.06196603733783356,7.40546218487395
5,5,9,4,0,0.9508740204942736,0.956060606060606,0.9110597747617672,0.05363606449489964,4.393939393939394
5,0,9,4,1,-1,0.0,0.0,0.0,100.0
5,5,9,4,-1,0.9508740204942736,0.956060606060606,0.9110597747617672,0.05363606449489964,4.393939393939394
5,5,9,5,-1,0.9590100541376644,0.9187453692269696,0.8840304182509505,0.052449109519678315,8.125463077303039
5,5,9,6,-1,0.9561270801815431,0.9041487839771102,0.8681318681318682,0.009461633077869241,9.585121602288984
5,5,9,7,0,0.8556094182825484,0.5497219132369299,0.5030537459283387,0.13775788308749443,45.02780867630701
5,0,9,7,1,-1,0.0,0.0,0.0,100.0
5,5,9,7,-1,0.8556094182825484,0.5497219132369299,0.5030537459283387,0.13775788308749443,45.02780867630701
5,4,9,8,0,0.9568292081243319,0.9041883596239024,0.8687472002389129,0.37220579790288616,9.58116403760976
5,1,9,8,1,0.966847981677641,0.6560727329240811,0.6416384846297071,0.2052449114150201,34.39272670759188
5,0,9,8,2,-1,0.0,0.0,0.0,100.0
5,5,9,8,-1,0.9499898682877407,0.9107545263812262,0.8690864600326265,0.4374304329639634,8.92454736187738
5,5,9,11,-1,0.8895705521472392,0.8972772277227723,0.8073496659242761,0.058780500548618005,10.272277227722771
5,5,9,13,-1,0.9766954938552572,0.9517431029894438,0.9306097666753405,0.08632113485316978,4.8256897010556195
5,5,9,14,-1,0.9468816579508038,0.9843946639818777,0.9328785421238431,0.3817843283971671,1.5605336018122327
5,4,9,15,0,0.79585326953748,0.9822834645669292,0.7845911949685535,0.04173568270447224,1.7716535433070866
5,1,9,15,1,0.0,0.0,0.0,6.466096279003039,100.0
5,5,9,15,-1,0.8022508038585209,0.9822834645669292,0.7908082408874801,0.040105382598828794,1.7716535433070866
5,5,9,16,-1,0.9590588235294117,0.9834325237252695,0.9438098178450139,0.08671586102869597,1.6567476274730577
5,5,9,17,-1,0.8815573770491804,0.9243661366566395,0.8222477064220184,0.1560702694237281,7.563386334336054
5,4,9,18,0,0.9981892541600325,0.8742719641245796,0.872887602719157,0.038428665133937154,12.572803587542042
5,1,9,18,1,1.0,0.5344945448579476,0.5344945448579476,0.0,46.55054551420525
5,5,9,18,-1,0.9981892541600325,0.8742719641245796,0.872887602719157,0.038428665133937154,12.572803587542042
5,5,9,19,-1,0.9454162276080085,0.9149500305935142,0.8690430065865944,0.14184241800248634,8.504996940648581
5,2,9,20,1,0.9867051758125889,0.9179817452870426,0.9067660936973374,0.17677106318651176,8.201825471295743
