sample,objid,clust,P [NumPt],R [NumPt],J [NumPt],FNR% [NumPt],FPR% [NumPt],P [AreaRatio],R [AreaRatio],J [AreaRatio],FNR% [AreaRatio],FPR% [AreaRatio],P [AvrgWorker],R [AvrgWorker],J [AvrgWorker],FNR% [AvrgWorker],FPR% [AvrgWorker],P [BestWorker],R [BestWorker],J [BestWorker],FNR% [BestWorker],FPR% [BestWorker],num_workers
25workers_rand0,1,-1,0.905256270231,0.989744985716,0.896844226576,0.950609137478,1.02550142844,0.901544772227,0.98940541119,0.892924679245,0.991574846739,1.05945888103,0.958986043824,0.907373943899,0.872407135659,0.356733653888,9.26260561009,0.988015478244,0.976747158271,0.965310317771,0.108727362882,2.32528417291,25
25workers_rand0,1,0,0.905256270231,0.989744985716,0.896844226576,0.950609137478,1.02550142844,0.901544772227,0.98940541119,0.892924679245,0.991574846739,1.05945888103,0.960251398018,0.969824139216,0.932002723162,0.378635404804,3.01758607837,0.988015478244,0.976747158271,0.965310317771,0.108727362882,2.32528417291,25
25workers_rand0,2,-1,0.959618002444,0.969866998987,0.931835718582,0.0876752980719,3.01330010131,0.888240211394,0.999399132671,0.887766112856,0.270128102021,0.0600867328674,0.938622745466,0.957520659714,0.900592340626,0.137214074367,4.24793402862,0.976789301697,0.979435197956,0.957158697327,0.0499963934262,2.05648020444,25
25workers_rand0,3,-1,0.860537725022,0.940968366894,0.816460440076,0.184919231103,5.90316331064,0.860537725022,0.940968366894,0.816460440076,0.184919231103,5.90316331064,0.944830097531,0.906045567422,0.860328269144,0.0652231099067,9.39544325784,0.980278879831,0.938329708911,0.920944855748,0.0228906236185,6.16702910892,25
25workers_rand0,4,-1,0.918931470167,0.97603856784,0.898658215915,0.0897798703903,2.39614321602,0.423253765879,0.944109583133,0.412907850686,1.34137177958,5.58904168674,0.886410048597,0.928285222872,0.82810101463,0.174676920725,7.17147771278,0.955485977636,0.964528431683,0.923050872389,0.0468522420695,3.54715683167,25
25workers_rand0,4,0,0.918931470167,0.97603856784,0.898658215915,0.0897798703903,2.39614321602,0.873165235083,0.983619260089,0.860650270174,0.148974425392,1.63807399111,0.925953758485,0.92761800596,0.863657649186,0.0780276424385,7.23819940396,0.955485977636,0.964528431683,0.923050872389,0.0468522420695,3.54715683167,25
25workers_rand0,5,-1,0.924450844415,0.875110513924,0.816702482579,0.0921156494797,12.4889486076,0.85854254348,0.927441324328,0.804505247793,0.19682270359,7.25586756721,0.934175906885,0.887446143283,0.834374780154,0.0829086150493,11.2553856717,0.937721900205,0.950324076004,0.893905192657,0.0812938612564,4.96759239958,25
25workers_rand0,6,-1,0.584433318161,1.0,0.584433318161,0.148911462105,0.0,0.584433318161,1.0,0.584433318161,0.148911462105,0.0,0.880869173544,0.858856862004,0.764166077945,0.0271435472854,14.1143137996,0.937853284772,0.913019163524,0.860931851781,0.0126702604458,8.69808364756,25
25workers_rand0,7,-1,0.850876979698,0.585453287429,0.530972634371,0.147824508547,41.4546712571,0.85626053602,0.96292512491,0.828932265332,0.232883590849,3.70748750901,0.883463310797,0.638704766844,0.587497947699,0.122657106715,36.1295233156,0.906796414938,0.974135869084,0.885477472063,0.144250934723,2.58641309162,25
25workers_rand0,7,1,0.913571605431,0.887502463814,0.818757817761,0.120964991193,11.2497536186,0.85626053602,0.96292512491,0.828932265332,0.232883590849,3.70748750901,0.898245075165,0.919307863172,0.829727283407,0.154145561137,8.06921368278,0.906796414938,0.974135869084,0.885477472063,0.144250934723,2.58641309162,25
25workers_rand0,8,-1,0.939683852609,0.898919986395,0.849882120771,0.512301072384,10.1080013605,0.679529230133,0.966718879667,0.66399566566,4.04792893888,3.32811203329,0.905602024353,0.825034227246,0.750159069926,0.880876043502,17.4965772754,0.951321885153,0.933510771722,0.890952858718,0.424109494912,6.64892282782,25
25workers_rand0,8,0,0.939683852609,0.898919986395,0.849882120771,0.512301072384,10.1080013605,0.828788600125,0.924993909375,0.776597391591,1.6966028072,7.50060906245,0.905769188114,0.898443495825,0.821268454526,0.851641502492,10.1556504175,0.951321885153,0.933510771722,0.890952858718,0.424109494912,6.64892282782,25
25workers_rand0,9,-1,0.934995011036,0.950649417613,0.89171310874,0.203563683874,4.9350582387,0.934995011036,0.950649417613,0.89171310874,0.203563683874,4.9350582387,0.970801490972,0.921575837978,0.896788175838,0.0856227298899,7.84241620216,0.98117050597,0.967676478029,0.950033843948,0.0571961596462,3.23235219712,25
25workers_rand0,10,-1,0.596845140055,0.999755092973,0.59675788965,3.85597857027,0.0244907027278,0.596845140055,0.999755092973,0.59675788965,3.85597857027,0.0244907027278,0.93624130981,0.97197767151,0.910655845219,0.464035276092,2.80223284902,0.983087672806,0.976465961274,0.96033387708,0.0959177492477,2.35340387262,25
25workers_rand0,10,0,0.917148660248,0.982371675087,0.902298700297,0.506718056484,1.76283249127,0.912733107878,0.994740761425,0.908349720539,0.54305819095,0.525923857527,0.962481575559,0.970933707217,0.935306004092,0.219472673561,2.90662927829,0.983087672806,0.976465961274,0.96033387708,0.0959177492477,2.35340387262,25
25workers_rand0,11,-1,0.755084360984,0.953830394185,0.728459585917,0.151945227357,4.61696058154,0.721587807089,0.9717094697,0.706740294825,0.184132463537,2.82905303005,0.84721189244,0.858240569769,0.738502976568,0.0799375399788,14.1759430231,0.927925613397,0.906030392875,0.846461725557,0.0345625217841,9.39696071253,25
