num_workers,actualNworkers,sample_num,objid,clust,precision,recall,jaccard,FPR%,FNR%
10,10,0,1,0,0.9940618041176701,0.9717766575007638,0.9661679829890644,0.05408944686423548,2.8223342499236175
10,0,0,1,1,-1,0.0,0.0,0.0,100.0
10,10,0,1,-1,0.9940618041176701,0.9717766575007638,0.9661679829890644,0.05408944686423548,2.8223342499236175
10,10,0,2,-1,0.9699338544798557,0.9689142513890975,0.9406619040676484,0.06654666085492494,3.1085748610902537
10,10,0,3,-1,0.9591724137931035,0.913077731092437,0.8789180990899899,0.04878177407446472,8.692226890756302
10,0,0,4,1,-1,0.0,0.0,0.0,100.0
10,10,0,4,0,0.9491733006736068,0.9393939393939394,0.894402769763416,0.054623231326094104,6.0606060606060606
10,10,0,4,-1,0.9491733006736068,0.9393939393939394,0.894402769763416,0.054623231326094104,6.0606060606060606
10,10,0,5,-1,0.9689673622257892,0.8945418621881946,0.8696278511404562,0.03826475914643197,10.545813781180538
10,10,0,6,-1,0.9270516717325228,0.8726752503576538,0.8165997322623829,0.0156606340599215,12.732474964234623
10,9,0,7,0,0.9008082292432035,0.5454949944382648,0.514585519412382,0.08919575163938488,45.45050055617353
10,1,0,7,1,0.8673050615595075,0.8462736373748609,0.7492613748276541,0.19226639797822964,15.372636262513906
10,10,0,7,-1,0.9015350056158742,0.535706340378198,0.5060949978982766,0.08688326918947491,46.4293659621802
10,7,0,8,0,0.950497798579985,0.9310358225192322,0.8879789520492107,0.4423931769360019,6.896417748076773
10,3,0,8,1,0.992390026603972,0.6232030460797264,0.6202389698774216,0.04360125061148095,37.67969539202735
10,0,0,8,2,-1,0.0,0.0,0.0,100.0
10,10,0,8,-1,0.9624890956673452,0.9002253477348667,0.8697120978942232,0.32009698619648214,9.977465226513328
10,10,0,11,-1,0.9266842800528402,0.8681930693069307,0.8123914302258252,0.036247975338314434,13.180693069306932
10,10,0,13,-1,0.9741536221332363,0.9495254147077087,0.9261919183179026,0.09576250897773521,5.047458529229132
10,10,0,14,-1,0.9535031225604996,0.9837905864585955,0.9387549236237871,0.331668609810848,1.6209413541404478
10,10,0,15,0,0.8494809688581315,0.9665354330708661,0.8252100840336134,0.028367221838195976,3.346456692913386
10,0,0,15,1,-1,0.0,0.0,0.0,100.0
10,10,0,15,-1,0.8494809688581315,0.9665354330708661,0.8252100840336134,0.028367221838195976,3.346456692913386
10,10,0,16,-1,0.9489638107021342,0.9869712079781245,0.9372231556438063,0.10964074382938571,1.3028792021875502
10,10,0,17,-1,0.9041267194664444,0.9321014181349377,0.8482596793116934,0.12420817289777668,6.7898581865062315
10,10,0,18,0,0.9971116449325097,0.9534057039730934,0.9507798865619547,0.06691888238840779,4.659429602690657
10,0,0,18,1,-1,0.0,0.0,0.0,100.0
10,10,0,18,-1,0.9971116449325097,0.9534057039730934,0.9507798865619547,0.06691888238840779,4.659429602690657
10,10,0,19,-1,0.9582216264521894,0.8747705486436875,0.8426326129666012,0.10241132110604227,12.522945135631247
10,3,0,20,1,0.9744968174780664,0.9664335067815406,0.9425932859103956,0.3614663464469016,3.356649321845944
10,1,0,20,2,0.8571875856130875,0.9341465495180414,0.808341022328843,2.2242676191985566,6.585345048195854
10,4,0,20,3,0.9948890383322125,0.6309818305894396,0.6289431170818808,0.04632620966267204,36.90181694105604
10,2,0,20,4,0.0,0.0,0.0,9.473709876016434,100.0
10,10,0,20,-1,0.9971437441788265,0.684935596690267,0.6835944151200408,0.028039547953722554,31.5064403309733
10,10,0,21,0,1.0,0.9281767955801105,0.9281767955801105,0.0,7.18232044198895
10,0,0,21,1,-1,0.0,0.0,0.0,100.0
10,10,0,21,-1,1.0,0.9281767955801105,0.9281767955801105,0.0,7.18232044198895
10,10,0,22,0,0.8592540464461647,0.9682791435368755,0.8357289527720739,0.10738889276682112,3.1720856463124503
10,0,0,22,1,-1,0.0,0.0,0.0,100.0
10,10,0,22,-1,0.8592540464461647,0.9682791435368755,0.8357289527720739,0.10738889276682112,3.1720856463124503
10,10,0,23,-1,0.9566836887954341,0.9506865671641791,0.9114532654112529,0.18353060964744813,4.931343283582089
10,10,0,24,-1,0.9736678415923699,0.9890480202190396,0.9632820512820512,0.031369488109234976,1.0951979780960404
10,6,0,25,0,0.9702702005213037,0.8167933956115577,0.7968504938323937,0.316857826553346,18.320660438844232
10,4,0,25,1,0.960385577503666,0.9675211818379318,0.9303904568909688,0.5052672112660561,3.247881816206822
10,10,0,25,-1,0.9454540915672275,0.822789485118401,0.7855024370009334,0.600984679704046,17.721051488159894
10,9,0,26,0,0.9808334230644987,0.9779376241344141,0.9595996839610219,0.09105534681600426,2.2062375865585913
10,1,0,26,1,0.6628295722209558,0.9365505394814536,0.6343440954043048,2.269989334247297,6.3449460518546354
10,10,0,26,-1,0.9832465842550423,0.9734822051639916,0.9575984792480726,0.0790339948487228,2.6517794836008375
10,10,0,27,0,0.9689089306299586,0.9932916232186305,0.962609896587732,0.24078985374051415,0.6708376781369483
10,10,0,27,-1,0.9689089306299586,0.9932916232186305,0.962609896587732,0.24078985374051415,0.6708376781369483
10,10,0,28,0,0.9154316335928996,0.9086602393617021,0.8382916730562797,0.34366833623693377,9.133976063829788
10,0,0,28,1,-1,0.0,0.0,0.0,100.0
10,10,0,28,-1,0.9154316335928996,0.9086602393617021,0.8382916730562797,0.34366833623693377,9.133976063829788
10,5,0,29,0,0.896096602078068,0.9247935081872193,0.8352309907080225,0.24747591290185575,7.520649181278076
10,2,0,29,1,0.1349206349206349,0.007390233299521809,0.007055893746541229,0.10935759934987407,99.26097667004782
