objid,k,thresh,p,r,j,fpr,fnr
28,100,0.2,0.8595252403846154,0.9509640957446809,0.8230470435908502,0.6362968205574913,4.903590425531915
28,100,0.5,0.93942827261635,0.8958610372340425,0.8469395772766559,0.23648464721254353,10.413896276595745
28,100,0.8,0.9535501603298213,0.8650265957446809,0.8300502432410878,0.1725146994773519,13.497340425531915
28,500,0.2,0.8595252403846154,0.9509640957446809,0.8230470435908502,0.6362968205574913,4.903590425531915
28,500,0.5,0.93942827261635,0.8958610372340425,0.8469395772766559,0.23648464721254353,10.413896276595745
28,500,0.8,0.9535501603298213,0.8650265957446809,0.8300502432410878,0.1725146994773519,13.497340425531915
29,100,0.2,0.8712407238640802,0.969714534125489,0.8481622306717364,0.3307482133242369,3.028546587451094
29,100,0.5,0.9072912310051582,0.9430517316330966,0.8601638910917262,0.2223938947023433,5.694826836690335
29,100,0.8,0.9389372280919825,0.8756701927256919,0.828489169180148,0.131429775365445,12.432980727430808
29,500,0.2,0.8712407238640802,0.969714534125489,0.8481622306717364,0.3307482133242369,3.028546587451094
29,500,0.5,0.9072912310051582,0.9430517316330966,0.8601638910917262,0.2223938947023433,5.694826836690335
29,500,0.8,0.9389372280919825,0.8756701927256919,0.828489169180148,0.131429775365445,12.432980727430808
3,100,0.2,0.8191939434424405,0.9661239495798319,0.7963203463203463,0.2676405442463875,3.3876050420168067
3,100,0.5,0.9170397682380826,0.914390756302521,0.844530681542566,0.10382607319902963,8.5609243697479
3,100,0.8,0.9170397682380826,0.914390756302521,0.844530681542566,0.10382607319902963,8.5609243697479
3,500,0.2,0.8191939434424405,0.9661239495798319,0.7963203463203463,0.2676405442463875,3.3876050420168067
3,500,0.5,0.9170397682380826,0.914390756302521,0.844530681542566,0.10382607319902963,8.5609243697479
3,500,0.8,0.9170397682380826,0.914390756302521,0.844530681542566,0.10382607319902963,8.5609243697479
30,100,0.2,0.851805900192997,0.9656196280668855,0.8267326732673267,0.3589063871982265,3.4380371933114553
30,100,0.5,0.886404028436019,0.9353023909985936,0.8351939715322355,0.2560755339358509,6.469760900140647
30,100,0.8,0.976758535582065,0.7421472105016409,0.7292690417690417,0.037726903956650785,25.78527894983591
30,500,0.2,0.851805900192997,0.9656196280668855,0.8267326732673267,0.3589063871982265,3.4380371933114553
30,500,0.5,0.886404028436019,0.9353023909985936,0.8351939715322355,0.2560755339358509,6.469760900140647
30,500,0.8,0.976758535582065,0.7421472105016409,0.7292690417690417,0.037726903956650785,25.78527894983591
31,100,0.2,0.635051972901691,0.9620054837446141,0.6195136716779336,5.033703056457077,3.799451625538582
31,100,0.5,0.6402120567934283,0.955503329416373,0.6216774127781034,4.889261385926745,4.449667058362711
31,100,0.8,0.9916644259209465,0.14445750097924012,0.1442823050741364,0.011056029102321766,85.55424990207598
31,500,0.2,0.635051972901691,0.9620054837446141,0.6195136716779336,5.033703056457077,3.799451625538582
31,500,0.5,0.6402120567934283,0.955503329416373,0.6216774127781034,4.889261385926745,4.449667058362711
31,500,0.8,0.9916644259209465,0.14445750097924012,0.1442823050741364,0.011056029102321766,85.55424990207598
32,100,0.2,0.9631986196112264,0.9755604707681385,0.9405043963565524,0.5068715442686382,2.44395292318615
32,100,0.5,0.9829890305696308,0.9641189481445073,0.9482971637301246,0.22688535791072378,3.588105185549275
32,100,0.8,0.9948422242183652,0.9375221867234647,0.9329873094377564,0.06609753471048908,6.247781327653533
32,500,0.2,0.9631986196112264,0.9755604707681385,0.9405043963565524,0.5068715442686382,2.44395292318615
32,500,0.5,0.9829890305696308,0.9641189481445073,0.9482971637301246,0.22688535791072378,3.588105185549275
32,500,0.8,0.9948422242183652,0.9375221867234647,0.9329873094377564,0.06609753471048908,6.247781327653533
33,100,0.2,0.38544793621013135,0.99696703163386,0.3849964862965566,19.20102290171424,0.30329683661399415
33,100,0.5,0.817351598173516,0.02171605350156198,0.02161117986176089,0.0586190094120147,97.8283946498438
33,100,0.8,0.8928571428571429,0.015923083922234692,0.01589271659502331,0.023081234955980787,98.40769160777653
