,num_workers,actualNworkers,sample_num,objid,clust,P [MV],R [MV],J [MV],FPR% [MV],FNR% [MV],P [basic],R [basic],J [basic],FPR% [basic],FNR% [basic],P [GT],R [GT],J [GT],FPR% [GT],FNR% [GT],P [isoGT],R [isoGT],J [isoGT],FPR% [isoGT],FNR% [isoGT],P [GTLSA],R [GTLSA],J [GTLSA],FPR% [GTLSA],FNR% [GTLSA],P [isoGTLSA],R [isoGTLSA],J [isoGTLSA],FPR% [isoGTLSA],FNR% [isoGTLSA],P [isobasic],R [isobasic],J [isobasic],FPR% [isobasic],FNR% [isobasic]
0,5,5,9,1,0,0.975308167889,0.969981668194,0.946732769225,0.228812594301,3.00183318057,0.975308167889,0.969981668194,0.946732769225,-1,-1,0.975308167889,0.969981668194,0.946732769225,0.228812594301,3.00183318057,0.975308167889,0.969981668194,0.946732769225,0.228812594301,3.00183318057,0.97361972586,0.971165597311,0.946265768615,0.24518176901,2.88344026887,0.97361972586,0.971165597311,0.946265768615,0.24518176901,2.88344026887,0.973992645932,0.971165597311,0.946618024792,0.241623252769,2.88344026887
1,5,5,9,2,-1,0.971860499925,0.975071332032,0.948298524901,0.0625538612036,2.49286679682,0.971860499925,0.975071332032,0.948298524901,-1,-1,0.971860499925,0.975071332032,0.948298524901,0.0625538612036,2.49286679682,0.971860499925,0.975071332032,0.948298524901,0.0625538612036,2.49286679682,0.968904912123,0.968613905992,0.939411593359,0.0688757939848,3.13860940081,0.968904912123,0.968613905992,0.939411593359,0.0688757939848,3.13860940081,0.965713430154,0.968613905992,0.936411149826,0.0761959266789,3.13860940081
2,5,5,9,3,-1,0.951101558302,0.929621848739,0.887218045113,0.0599883978483,7.03781512605,0.951101558302,0.929621848739,0.887218045113,-1,-1,0.951101558302,0.929621848739,0.887218045113,0.0599883978483,7.03781512605,0.951101558302,0.929621848739,0.887218045113,0.0599883978483,7.03781512605,0.949039487727,0.934086134454,0.889472368092,0.0629548570826,6.59138655462,0.949039487727,0.934086134454,0.889472368092,0.0629548570826,6.59138655462,0.949380721594,0.925945378151,0.882382382382,0.0619660373378,7.40546218487
3,5,5,9,4,0,0.943277310924,0.952424242424,0.90083118372,0.0621915103653,4.75757575758,0.943277310924,0.952424242424,0.90083118372,-1,-1,0.943277310924,0.952424242424,0.90083118372,0.0621915103653,4.75757575758,0.943277310924,0.952424242424,0.90083118372,0.0621915103653,4.75757575758,0.947462686567,0.961818181818,0.913118527043,0.0579137874301,3.81818181818,0.947462686567,0.961818181818,0.913118527043,0.0579137874301,3.81818181818,0.950874020494,0.956060606061,0.911059774762,0.0536360644949,4.39393939394
4,5,5,9,5,-1,0.955720501664,0.92220301309,0.884414969209,0.0570672701063,7.77969869103,0.955720501664,0.92220301309,0.884414969209,-1,-1,0.955720501664,0.92220301309,0.884414969209,0.0570672701063,7.77969869103,0.955720501664,0.92220301309,0.884414969209,0.0570672701063,7.77969869103,0.956676860347,0.927142504322,0.889784309078,0.0560776642663,7.28574956779,0.956676860347,0.927142504322,0.889784309078,0.0560776642663,7.28574956779,0.959010054138,0.918745369227,0.884030418251,0.0524491095197,8.1254630773
5,5,5,9,6,-1,0.956127080182,0.904148783977,0.868131868132,0.00946163307787,9.58512160229,0.956127080182,0.904148783977,0.868131868132,-1,-1,0.956127080182,0.904148783977,0.868131868132,0.00946163307787,9.58512160229,0.956127080182,0.904148783977,0.868131868132,0.00946163307787,9.58512160229,0.956127080182,0.904148783977,0.868131868132,0.00946163307787,9.58512160229,0.956127080182,0.904148783977,0.868131868132,0.00946163307787,9.58512160229,0.956127080182,0.904148783977,0.868131868132,0.00946163307787,9.58512160229
6,5,5,9,7,0,0.867561059512,0.56106785317,0.516803278689,0.127186534745,43.893214683,0.867561059512,0.56106785317,0.516803278689,-1,-1,0.867561059512,0.56106785317,0.516803278689,0.127186534745,43.893214683,0.867561059512,0.56106785317,0.516803278689,0.127186534745,43.893214683,0.860593512767,0.554838709677,0.509083486426,0.133463272823,44.5161290323,0.860593512767,0.554838709677,0.509083486426,0.133463272823,44.5161290323,0.855609418283,0.549721913237,0.503053745928,0.137757883087,45.0278086763
7,5,5,9,11,-1,0.890596189305,0.896658415842,0.807692307692,0.0581273838759,10.3341584158,0.890596189305,0.896658415842,0.807692307692,-1,-1,0.890596189305,0.896658415842,0.807692307692,0.0581273838759,10.3341584158,0.890596189305,0.896658415842,0.807692307692,0.0581273838759,10.3341584158,0.890596189305,0.896658415842,0.807692307692,0.0581273838759,10.3341584158,0.890596189305,0.896658415842,0.807692307692,0.0581273838759,10.3341584158,0.889570552147,0.897277227723,0.807349665924,0.0587805005486,10.2722772277
8,5,5,9,13,-1,0.981152690522,0.955912356959,0.938675958188,0.0697987301352,4.40876430409,0.981152690522,0.955912356959,0.938675958188,-1,-1,0.981152690522,0.955912356959,0.938675958188,0.0697987301352,4.40876430409,0.981152690522,0.955912356959,0.938675958188,0.0697987301352,4.40876430409,0.981164695177,0.956533309678,0.939285714286,0.0697987301352,4.3466690322,0.981164695177,0.956533309678,0.939285714286,0.0697987301352,4.3466690322,0.976695493855,0.951743102989,0.930609766675,0.0863211348532,4.82568970106
9,5,5,9,14,-1,0.946881657951,0.984394663982,0.932878542124,0.381784328397,1.56053360181,0.946881657951,0.984394663982,0.932878542124,-1,-1,0.946881657951,0.984394663982,0.932878542124,0.381784328397,1.56053360181,0.946881657951,0.984394663982,0.932878542124,0.381784328397,1.56053360181,0.946881657951,0.984394663982,0.932878542124,0.381784328397,1.56053360181,0.946881657951,0.984394663982,0.932878542124,0.381784328397,1.56053360181,0.946881657951,0.984394663982,0.932878542124,0.381784328397,1.56053360181
