,num_workers,actualNworkers,sample_num,objid,clust,P [MV],R [MV],J [MV],FPR% [MV],FNR% [MV],P [basic],R [basic],J [basic],FPR% [basic],FNR% [basic],P [GT],R [GT],J [GT],FPR% [GT],FNR% [GT],P [isoGT],R [isoGT],J [isoGT],FPR% [isoGT],FNR% [isoGT],P [GTLSA],R [GTLSA],J [GTLSA],FPR% [GTLSA],FNR% [GTLSA],P [isoGTLSA],R [isoGTLSA],J [isoGTLSA],FPR% [isoGTLSA],FNR% [isoGTLSA],P [isobasic],R [isobasic],J [isobasic],FPR% [isobasic],FNR% [isobasic]
0,10.0,10.0,0.0,1.0,0.0,0.994099257522,0.97154750993,0.965976836909,0.0537335952401,2.84524900703,0.994099257522,0.97154750993,0.965976836909,0.0537335952401,2.84524900703,0.994099257522,0.97154750993,0.965976836909,0.0537335952401,2.84524900703,0.994099257522,0.97154750993,0.965976836909,0.0537335952401,2.84524900703,0.994061804118,0.971776657501,0.966167982989,0.0540894468642,2.82233424992,0.994061804118,0.971776657501,0.966167982989,0.0540894468642,2.82233424992,0.994256017505,0.971776657501,0.966351448863,0.0523101887437,2.82233424992
1,10.0,10.0,0.0,2.0,-1.0,0.968580877931,0.967562697102,0.938118811881,0.0695412605934,3.24373028983,0.968580877931,0.967562697102,0.938118811881,0.0695412605934,3.24373028983,0.968580877931,0.967562697102,0.938118811881,0.0695412605934,3.24373028983,0.968580877931,0.967562697102,0.938118811881,0.0695412605934,3.24373028983,0.96993385448,0.968914251389,0.940661904068,0.0665466608549,3.10857486109,0.96993385448,0.968914251389,0.940661904068,0.0665466608549,3.10857486109,0.968282736747,0.962757170746,0.933323627893,0.0698739938977,3.72428292536
2,10.0,10.0,0.0,3.0,-1.0,0.959724137931,0.913602941176,0.879868487607,0.0481225609113,8.63970588235,0.959724137931,0.913602941176,0.879868487607,0.0481225609113,8.63970588235,0.959724137931,0.913602941176,0.879868487607,0.0481225609113,8.63970588235,0.959724137931,0.913602941176,0.879868487607,0.0481225609113,8.63970588235,0.959172413793,0.913077731092,0.87891809909,0.0487817740745,8.69222689076,0.959172413793,0.913077731092,0.87891809909,0.0487817740745,8.69222689076,0.958620689655,0.912552521008,0.877968671046,0.0494409872376,8.74474789916
3,10.0,10.0,0.0,4.0,0.0,0.939570552147,0.928181818182,0.875893623106,0.0648239552484,7.18181818182,0.939570552147,0.928181818182,0.875893623106,0.0648239552484,7.18181818182,0.939570552147,0.928181818182,0.875893623106,0.0648239552484,7.18181818182,0.939570552147,0.928181818182,0.875893623106,0.0648239552484,7.18181818182,0.949173300674,0.939393939394,0.894402769763,0.0546232313261,6.06060606061,0.949173300674,0.939393939394,0.894402769763,0.0546232313261,6.06060606061,0.950950337216,0.94,0.896531791908,0.0526488976637,6.0
4,10.0,10.0,0.0,5.0,-1.0,0.970021413276,0.895035811311,0.870944484499,0.0369452846931,10.4964188689,0.970021413276,0.895035811311,0.870944484499,0.0369452846931,10.4964188689,0.970021413276,0.895035811311,0.870944484499,0.0369452846931,10.4964188689,0.970021413276,0.895035811311,0.870944484499,0.0369452846931,10.4964188689,0.968967362226,0.894541862188,0.86962785114,0.0382647591464,10.5458137812,0.968967362226,0.894541862188,0.86962785114,0.0382647591464,10.5458137812,0.969243113132,0.895035811311,0.870317002882,0.0379348905331,10.4964188689
5,10.0,10.0,0.0,6.0,-1.0,0.922374429224,0.8669527897,0.808,0.0166394236887,13.30472103,0.922374429224,0.8669527897,0.808,0.0166394236887,13.30472103,0.922374429224,0.8669527897,0.808,0.0166394236887,13.30472103,0.922374429224,0.8669527897,0.808,0.0166394236887,13.30472103,0.927051671733,0.872675250358,0.816599732262,0.0156606340599,12.7324749642,0.927051671733,0.872675250358,0.816599732262,0.0156606340599,12.7324749642,0.924242424242,0.872675250358,0.814419225634,0.0163131604791,12.7324749642
6,10.0,9.0,0.0,7.0,0.0,0.901687454145,0.546829810901,0.5160613059,0.088535042368,45.3170189099,0.901687454145,0.546829810901,0.5160613059,0.088535042368,45.3170189099,0.901687454145,0.546829810901,0.5160613059,0.088535042368,45.3170189099,0.901687454145,0.546829810901,0.5160613059,0.088535042368,45.3170189099,0.900808229243,0.545494994438,0.514585519412,0.0891957516394,45.4505005562,0.900808229243,0.545494994438,0.514585519412,0.0891957516394,45.4505005562,0.904325513196,0.548832035595,0.518713204373,0.0862225599181,45.1167964405
7,10.0,7.0,0.0,8.0,0.0,0.950200388873,0.930375320538,0.887118882673,0.444874548922,6.96246794623,0.950200388873,0.930375320538,0.887118882673,0.444874548922,6.96246794623,0.950200388873,0.930375320538,0.887118882673,0.444874548922,6.96246794623,0.950200388873,0.930375320538,0.887118882673,0.444874548922,6.96246794623,0.95049779858,0.931035822519,0.887978952049,0.442393176936,6.89641774808,0.95049779858,0.931035822519,0.887978952049,0.442393176936,6.89641774808,0.950686344521,0.931035822519,0.888143508395,0.440620768375,6.89641774808
8,10.0,3.0,0.0,8.0,1.0,0.962704894626,0.654907141192,0.638702588003,0.231476558124,34.5092858808,0.962704894626,0.654907141192,0.638702588003,0.231476558124,34.5092858808,0.962704894626,0.654907141192,0.638702588003,0.231476558124,34.5092858808,0.962704894626,0.654907141192,0.638702588003,0.231476558124,34.5092858808,0.992390026604,0.62320304608,0.620238969877,0.0436012506115,37.679695392,0.075149173756,0.882741471754,0.0744064188636,99.1173405364,11.7258528246,0.992390026604,0.62320304608,0.620238969877,0.0436012506115,37.679695392
9,10.0,10.0,0.0,11.0,-1.0,0.92328042328,0.863861386139,0.806004618938,0.0378807670202,13.6138613861,0.92328042328,0.863861386139,0.806004618938,0.0378807670202,13.6138613861,0.92328042328,0.863861386139,0.806004618938,0.0378807670202,13.6138613861,0.92328042328,0.863861386139,0.806004618938,0.0378807670202,13.6138613861,0.926684280053,0.868193069307,0.812391430226,0.0362479753383,13.1806930693,0.926684280053,0.868193069307,0.812391430226,0.0362479753383,13.1806930693,0.925313945803,0.866336633663,0.80971659919,0.0369010920111,13.3663366337
10,10.0,10.0,0.0,13.0,-1.0,0.974244630506,0.949614122239,0.926358601592,0.0954253170447,5.0385877761,0.974244630506,0.949614122239,0.926358601592,0.0954253170447,5.0385877761,0.974244630506,0.949614122239,0.926358601592,0.0954253170447,5.0385877761,0.974244630506,0.949614122239,0.926358601592,0.0954253170447,5.0385877761,0.974153622133,0.949525414708,0.926191918318,0.0957625089777,5.04745852923,0.974153622133,0.949525414708,0.926191918318,0.0957625089777,5.04745852923,0.970992088751,0.947219018895,0.921152518979,0.107564226633,5.27809811053
