,Unnamed: 0,sample,num_workers,sample_num,objid,clust,actualNworkerInSample
1511,1511,5workers_rand4,5,4,30,1,4
1512,1512,5workers_rand4,5,4,31,0,4
1515,1515,5workers_rand4,5,4,32,0,5
1517,1517,5workers_rand4,5,4,33,0,4
1520,1520,5workers_rand4,5,4,34,1,5
1521,1521,5workers_rand4,5,4,37,0,4
1528,1528,5workers_rand4,5,4,40,0,5
1530,1530,5workers_rand4,5,4,41,0,3
1523,1523,5workers_rand4,5,4,42,0,3
1527,1527,5workers_rand4,5,4,47,2,4
1534,1534,5workers_rand5,5,5,1,0,5
1536,1536,5workers_rand5,5,5,4,0,4
1538,1538,5workers_rand5,5,5,7,0,5
1540,1540,5workers_rand5,5,5,8,0,3
1591,1591,5workers_rand5,5,5,10,0,5
1543,1543,5workers_rand5,5,5,15,0,5
1545,1545,5workers_rand5,5,5,18,0,5
1550,1550,5workers_rand5,5,5,20,3,3
1552,1552,5workers_rand5,5,5,21,0,5
1554,1554,5workers_rand5,5,5,22,0,5
1557,1557,5workers_rand5,5,5,25,1,4
1558,1558,5workers_rand5,5,5,26,0,4
1560,1560,5workers_rand5,5,5,27,0,5
1564,1564,5workers_rand5,5,5,28,0,5
1566,1566,5workers_rand5,5,5,29,0,3
1570,1570,5workers_rand5,5,5,30,1,4
1571,1571,5workers_rand5,5,5,31,0,4
1574,1574,5workers_rand5,5,5,32,0,5
1576,1576,5workers_rand5,5,5,33,0,3
1579,1579,5workers_rand5,5,5,34,1,5
1580,1580,5workers_rand5,5,5,37,0,3
1587,1587,5workers_rand5,5,5,40,0,4
1589,1589,5workers_rand5,5,5,41,0,3
1582,1582,5workers_rand5,5,5,42,0,4
1585,1585,5workers_rand5,5,5,47,1,3
1593,1593,5workers_rand6,5,6,1,0,5
1595,1595,5workers_rand6,5,6,4,0,5
1597,1597,5workers_rand6,5,6,7,0,4
1599,1599,5workers_rand6,5,6,8,0,3
1650,1650,5workers_rand6,5,6,10,0,5
1602,1602,5workers_rand6,5,6,15,0,5
1604,1604,5workers_rand6,5,6,18,0,5
1607,1607,5workers_rand6,5,6,20,1,5
1611,1611,5workers_rand6,5,6,21,0,4
1613,1613,5workers_rand6,5,6,22,0,5
1615,1615,5workers_rand6,5,6,25,0,4
1617,1617,5workers_rand6,5,6,26,0,5
1619,1619,5workers_rand6,5,6,27,0,5
1623,1623,5workers_rand6,5,6,28,0,4
1625,1625,5workers_rand6,5,6,29,0,5
1629,1629,5workers_rand6,5,6,30,1,5
1630,1630,5workers_rand6,5,6,31,0,4
1633,1633,5workers_rand6,5,6,32,0,5
1635,1635,5workers_rand6,5,6,33,0,4
1638,1638,5workers_rand6,5,6,34,1,4
1640,1640,5workers_rand6,5,6,37,1,3
1646,1646,5workers_rand6,5,6,40,0,5
1648,1648,5workers_rand6,5,6,41,0,4
1641,1641,5workers_rand6,5,6,42,0,4
1643,1643,5workers_rand6,5,6,47,0,2
1652,1652,5workers_rand7,5,7,1,0,5
1654,1654,5workers_rand7,5,7,4,0,5
1656,1656,5workers_rand7,5,7,7,0,3
1660,1660,5workers_rand7,5,7,8,2,3
1709,1709,5workers_rand7,5,7,10,0,4
1661,1661,5workers_rand7,5,7,15,0,5
1663,1663,5workers_rand7,5,7,18,0,5
1666,1666,5workers_rand7,5,7,20,1,2
1670,1670,5workers_rand7,5,7,21,0,4
1672,1672,5workers_rand7,5,7,22,0,4
1674,1674,5workers_rand7,5,7,25,0,4
1676,1676,5workers_rand7,5,7,26,0,5
1678,1678,5workers_rand7,5,7,27,0,4
1682,1682,5workers_rand7,5,7,28,0,5
1684,1684,5workers_rand7,5,7,29,0,4
1688,1688,5workers_rand7,5,7,30,1,5
1689,1689,5workers_rand7,5,7,31,0,3
1692,1692,5workers_rand7,5,7,32,0,5
1694,1694,5workers_rand7,5,7,33,0,4
1697,1697,5workers_rand7,5,7,34,1,4
1698,1698,5workers_rand7,5,7,37,0,3
1705,1705,5workers_rand7,5,7,40,0,4
1707,1707,5workers_rand7,5,7,41,0,3
1701,1701,5workers_rand7,5,7,42,1,4
1704,1704,5workers_rand7,5,7,47,2,4
1711,1711,5workers_rand8,5,8,1,0,5
1713,1713,5workers_rand8,5,8,4,0,5
1715,1715,5workers_rand8,5,8,7,0,5
1717,1717,5workers_rand8,5,8,8,0,4
1768,1768,5workers_rand8,5,8,10,0,5
1720,1720,5workers_rand8,5,8,15,0,5
1722,1722,5workers_rand8,5,8,18,0,5
1726,1726,5workers_rand8,5,8,20,2,2
1729,1729,5workers_rand8,5,8,21,0,4
1731,1731,5workers_rand8,5,8,22,0,4
1734,1734,5workers_rand8,5,8,25,1,3
1735,1735,5workers_rand8,5,8,26,0,4
1737,1737,5workers_rand8,5,8,27,0,4
1741,1741,5workers_rand8,5,8,28,0,5
1743,1743,5workers_rand8,5,8,29,0,2
1747,1747,5workers_rand8,5,8,30,1,3
1748,1748,5workers_rand8,5,8,31,0,4
1751,1751,5workers_rand8,5,8,32,0,5
1753,1753,5workers_rand8,5,8,33,0,5
1756,1756,5workers_rand8,5,8,34,1,3
1757,1757,5workers_rand8,5,8,37,0,3
1764,1764,5workers_rand8,5,8,40,0,4
1766,1766,5workers_rand8,5,8,41,0,5
1760,1760,5workers_rand8,5,8,42,1,3
1763,1763,5workers_rand8,5,8,47,2,4
