sample,objid,algo,p,r,j,fpr,fnr
25workers_rand0,1,isobasic,0.985112897053,0.983081271005,0.968690023708,0.138426281778,1.69187289948
25workers_rand0,1,basic,0.98640396359,0.980866177819,0.967782048383,0.125971474934,1.91338221815
25workers_rand0,1,isobasic,0.986069002571,0.981286281699,0.967868309037,0.129174139551,1.87137183013
25workers_rand0,1,basic,0.98462068174,0.982928505958,0.968065899346,0.143052352891,1.70714940422
