sample,objid,clust,algo,p,r,j,fpr,fnr
25workers_rand0,1,-1,isobasic,0.985112897053,0.983081271005,0.968690023708,0.138426281778,1.69187289948
25workers_rand0,1,-1,basic,0.98640396359,0.980866177819,0.967782048383,0.125971474934,1.91338221815
25workers_rand0,1,-1,worker_fraction,0.983654764178,0.983692331195,0.967871636856,0.152304495118,1.63076688054
25workers_rand0,1,-1,ground_truth,0.997598261599,0.999388939811,0.996990132206,0.0224186523187,0.0611060189429
25workers_rand0,1,-1,isoGTLSA,0.983265990699,0.985143599145,0.968899072231,0.156218862983,1.48564008555
25workers_rand0,1,-1,GTLSA,0.988221209547,0.977276199206,0.966023632451,0.108534745353,2.27238007944
25workers_rand0,1,-1,isoGT,0.977171534224,0.989039107852,0.966702751129,0.215290232585,1.09608921479
25workers_rand0,1,-1,GT,0.977171534224,0.989039107852,0.966702751129,0.215290232585,1.09608921479
25workers_rand0,1,0,isobasic,0.986069002571,0.981286281699,0.967868309037,0.129174139551,1.87137183013
25workers_rand0,1,0,basic,0.98462068174,0.982928505958,0.968065899346,0.143052352891,1.70714940422
25workers_rand0,1,0,worker_fraction,0.98462068174,0.982928505958,0.968065899346,0.143052352891,1.70714940422
25workers_rand0,1,0,ground_truth,0.997598078463,0.999312557287,0.996913933021,0.0224186523187,0.0687442713107
25workers_rand0,1,0,isoGTLSA,0.982227803783,0.985716468072,0.968443960827,0.166182708458,1.42835319279
25workers_rand0,1,0,GTLSA,0.982377345564,0.985716468072,0.968589334634,0.164759301961,1.42835319279
25workers_rand0,1,0,isoGT,0.977354217777,0.988962725328,0.966808542413,0.213510974464,1.10372746716
25workers_rand0,1,0,GT,0.977354217777,0.988962725328,0.966808542413,0.213510974464,1.10372746716
25workers_rand0,2,-1,isobasic,0.958302745559,0.980177203784,0.940083537376,0.094496258414,1.98227962156
25workers_rand0,2,-1,basic,0.956827162301,0.981829103469,0.940178314639,0.098156324761,1.8170896531
25workers_rand0,2,-1,worker_fraction,0.956827162301,0.981829103469,0.940178314639,0.098156324761,1.8170896531
25workers_rand0,2,-1,ground_truth,0.997450127494,0.998648445713,0.996105452367,0.00565646617267,0.135155428743
25workers_rand0,2,-1,isoGTLSA,0.960989253643,0.980327376483,0.94280762565,0.0881743256328,1.9672623517
25workers_rand0,2,-1,GTLSA,0.960989253643,0.980327376483,0.94280762565,0.0881743256328,1.9672623517
25workers_rand0,2,-1,isoGT,0.936221590909,0.989788256495,0.927265053461,0.149397253619,1.0211743505
25workers_rand0,2,-1,GT,0.936221590909,0.989788256495,0.927265053461,0.149397253619,1.0211743505
25workers_rand0,3,-1,isobasic,0.954780713702,0.920430672269,0.881982888777,0.054714692543,7.95693277311
25workers_rand0,3,-1,basic,0.954868708972,0.916754201681,0.878681097408,0.0543850859614,8.32457983193
25workers_rand0,3,-1,worker_fraction,0.952290593657,0.922531512605,0.881777108434,0.0580107583588,7.7468487395
25workers_rand0,3,-1,ground_truth,0.991839957884,0.989495798319,0.981505600417,0.0102178040291,1.05042016807
25workers_rand0,3,-1,isoGTLSA,0.956724185155,0.917279411765,0.880736258195,0.0520778398903,8.27205882353
25workers_rand0,3,-1,GTLSA,0.956724185155,0.917279411765,0.880736258195,0.0520778398903,8.27205882353
25workers_rand0,3,-1,isoGT,0.939433324669,0.949054621849,0.89433308587,0.0767983335091,5.09453781513
25workers_rand0,3,-1,GT,0.939433324669,0.949054621849,0.89433308587,0.0767983335091,5.09453781513
25workers_rand0,4,-1,isobasic,0.947416137806,0.95,0.902417962003,0.0572556762093,5.0
25workers_rand0,4,-1,basic,0.940805288462,0.948787878788,0.895338861882,0.0648239552484,5.12121212121
25workers_rand0,4,-1,worker_fraction,0.93169722058,0.954848484848,0.892381761541,0.076011846002,4.51515151515
25workers_rand0,4,-1,ground_truth,0.99186746988,0.997878787879,0.989780583108,0.00888450148075,0.212121212121
