,sample,objid,wid,clust
199,25workers_rand0,18,209,0
200,25workers_rand0,21,178,1
201,25workers_rand0,21,184,0
202,25workers_rand0,21,181,0
203,25workers_rand0,21,234,0
204,25workers_rand0,21,199,0
205,25workers_rand0,21,256,0
206,25workers_rand0,21,200,0
207,25workers_rand0,21,13,0
208,25workers_rand0,21,219,0
209,25workers_rand0,21,208,0
210,25workers_rand0,21,189,0
211,25workers_rand0,21,209,0
212,25workers_rand0,21,169,0
213,25workers_rand0,21,174,0
214,25workers_rand0,21,201,0
215,25workers_rand0,21,192,0
216,25workers_rand0,21,114,1
217,25workers_rand0,21,193,0
218,25workers_rand0,21,48,0
219,25workers_rand0,21,175,0
220,25workers_rand0,21,46,0
221,25workers_rand0,21,225,0
222,25workers_rand0,21,116,0
223,25workers_rand0,21,217,0
224,25workers_rand0,21,218,0
225,25workers_rand0,22,174,1
226,25workers_rand0,22,187,0
227,25workers_rand0,22,135,0
228,25workers_rand0,22,218,0
229,25workers_rand0,22,184,0
230,25workers_rand0,22,259,0
231,25workers_rand0,22,116,0
232,25workers_rand0,22,6,0
233,25workers_rand0,22,214,0
234,25workers_rand0,22,205,0
235,25workers_rand0,22,189,0
236,25workers_rand0,22,201,0
237,25workers_rand0,22,193,0
238,25workers_rand0,22,81,0
239,25workers_rand0,22,198,0
240,25workers_rand0,22,200,1
241,25workers_rand0,22,199,0
242,25workers_rand0,22,196,0
243,25workers_rand0,22,46,0
244,25workers_rand0,22,175,0
245,25workers_rand0,22,30,0
246,25workers_rand0,22,217,0
247,25workers_rand0,22,207,0
248,25workers_rand0,22,213,1
249,25workers_rand0,22,215,0
250,25workers_rand0,25,184,1
251,25workers_rand0,25,253,1
252,25workers_rand0,25,135,1
253,25workers_rand0,25,143,0
254,25workers_rand0,25,82,1
255,25workers_rand0,25,114,1
256,25workers_rand0,25,187,0
257,25workers_rand0,25,208,0
258,25workers_rand0,25,205,0
259,25workers_rand0,25,52,0
260,25workers_rand0,25,169,0
261,25workers_rand0,25,230,1
262,25workers_rand0,25,234,0
263,25workers_rand0,25,250,0
264,25workers_rand0,25,201,1
265,25workers_rand0,25,260,1
266,25workers_rand0,25,133,0
267,25workers_rand0,25,148,1
268,25workers_rand0,25,136,0
269,25workers_rand0,25,247,0
270,25workers_rand0,25,209,1
271,25workers_rand0,25,241,0
272,25workers_rand0,25,218,0
273,25workers_rand0,25,140,1
274,25workers_rand0,25,214,0
275,25workers_rand0,26,225,0
276,25workers_rand0,26,218,0
277,25workers_rand0,26,83,0
278,25workers_rand0,26,156,0
279,25workers_rand0,26,169,0
280,25workers_rand0,26,148,0
281,25workers_rand0,26,196,0
282,25workers_rand0,26,219,0
283,25workers_rand0,26,175,0
284,25workers_rand0,26,222,0
285,25workers_rand0,26,140,0
286,25workers_rand0,26,68,0
287,25workers_rand0,26,116,0
288,25workers_rand0,26,270,0
289,25workers_rand0,26,193,0
290,25workers_rand0,26,170,0
291,25workers_rand0,26,130,0
292,25workers_rand0,26,232,0
293,25workers_rand0,26,234,0
294,25workers_rand0,26,133,0
295,25workers_rand0,26,235,0
296,25workers_rand0,26,230,0
297,25workers_rand0,26,187,0
298,25workers_rand0,26,142,0
299,25workers_rand0,26,114,0
300,25workers_rand0,27,136,2
301,25workers_rand0,27,142,0
302,25workers_rand0,27,140,0
303,25workers_rand0,27,252,0
304,25workers_rand0,27,160,1
305,25workers_rand0,27,258,0
306,25workers_rand0,27,234,0
307,25workers_rand0,27,68,0
308,25workers_rand0,27,245,0
309,25workers_rand0,27,9,0
310,25workers_rand0,27,149,0
311,25workers_rand0,27,159,0
312,25workers_rand0,27,148,0
313,25workers_rand0,27,131,0
314,25workers_rand0,27,52,0
315,25workers_rand0,27,82,3
316,25workers_rand0,27,161,0
317,25workers_rand0,27,143,0
318,25workers_rand0,27,219,0
319,25workers_rand0,27,141,0
320,25workers_rand0,27,120,0
321,25workers_rand0,27,239,0
322,25workers_rand0,27,156,0
323,25workers_rand0,27,230,0
324,25workers_rand0,27,235,0
325,25workers_rand0,28,114,1
326,25workers_rand0,28,252,0
327,25workers_rand0,28,214,0
328,25workers_rand0,28,82,1
329,25workers_rand0,28,133,0
330,25workers_rand0,28,250,0
331,25workers_rand0,28,131,0
332,25workers_rand0,28,234,0
333,25workers_rand0,28,230,0
334,25workers_rand0,28,271,0
335,25workers_rand0,28,146,0
336,25workers_rand0,28,201,0
337,25workers_rand0,28,213,0
338,25workers_rand0,28,137,0
339,25workers_rand0,28,156,0
340,25workers_rand0,28,241,0
341,25workers_rand0,28,196,0
342,25workers_rand0,28,52,0
343,25workers_rand0,28,68,0
344,25workers_rand0,28,9,0
345,25workers_rand0,28,140,0
346,25workers_rand0,28,247,0
347,25workers_rand0,28,219,0
348,25workers_rand0,28,239,0
349,25workers_rand0,28,169,0
350,25workers_rand0,29,234,1
351,25workers_rand0,29,184,1
352,25workers_rand0,29,76,2
353,25workers_rand0,29,187,0
354,25workers_rand0,29,146,1
355,25workers_rand0,29,75,0
356,25workers_rand0,29,156,0
357,25workers_rand0,29,193,0
358,25workers_rand0,29,256,2
359,25workers_rand0,29,135,0
360,25workers_rand0,29,86,1
361,25workers_rand0,29,105,0
362,25workers_rand0,29,161,0
363,25workers_rand0,29,252,0
364,25workers_rand0,29,181,1
365,25workers_rand0,29,68,0
366,25workers_rand0,29,175,0
367,25workers_rand0,29,239,0
368,25workers_rand0,29,140,2
369,25workers_rand0,29,254,1
370,25workers_rand0,29,195,0
371,25workers_rand0,29,9,0
372,25workers_rand0,29,131,0
373,25workers_rand0,29,84,1
374,25workers_rand0,29,149,0
375,25workers_rand0,30,169,1
376,25workers_rand0,30,68,1
377,25workers_rand0,30,211,1
378,25workers_rand0,30,148,1
379,25workers_rand0,30,175,1
380,25workers_rand0,30,196,1
381,25workers_rand0,30,156,1
382,25workers_rand0,30,201,1
383,25workers_rand0,30,116,1
384,25workers_rand0,30,118,1
385,25workers_rand0,30,161,1
